Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),ELB estimate,Elastic Load Balancing,0,33.78,405.36,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),VPC estimates,Amazon Virtual Private Cloud (VPC),0,32.94,395.28,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),EC2 estimate,Amazon EC2,0,863.5,10362.00,USD,"Operating system (Linux), Quantity (10), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t2.xlarge)"
My Estimate,US East (N. Virginia),VPC Transfer estimates,Amazon Virtual Private Cloud (VPC),0,1535.9099999999999,18430.92,USD,"DT Inbound: Internet (0 TB per month) 
, DT Outbound: Internet (10 TB per month) 
, DT Outbound: All other regions (10 TB per month) 
, DT Intra-Region: (20 TB per month) 
, Data transfer cost (1535.9099999999999)"
My Estimate,US East (N. Virginia),RDS estimates,Amazon RDS for PostgreSQL,0,4091.666,49099.99,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Instance type (db.m5.4xlarge), Additional backup storage (5 TB)"
My Estimate,US East (N. Virginia),S3 estimates,S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),S3 estimates,Data Transfer,0,1356.71,16280.52,USD,"DT Inbound: All other regions (10 TB per month) 
, DT Outbound: Internet (15 TB per month) 
"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
